Comment,Designator,Footprint,LCSC,Quantity
DMG2301L,"Q1,Q3,Q5,Q7",SOT-23,C102619,4
10R,"R1,R10,R4,R7",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C104606,4
2.2k,R14,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C114933,1
22u,"C3,C4",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C12891,2
100k,"R11,R12,R2,R3,R5,R6,R8,R9",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17900,8
1u,C1,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C1848,1
42k,R13,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C229633,1
TLV76733QWDRBxQ1,U2,SOP65P490X110-9N,C2873382,1
Conn_ST_STDC14,J2,PinHeader_2x07_P1.27mm_Vertical_SMD,C41370775,1
2.2u,C2,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C50254,1
Crystal,Y1,Crystal_SMD_MicroCrystal_CC8V-T1A-2Pin_2.0x1.2mm,C5142652,1
L22u,L1,L_1210_3225Metric,C711136,1
451-00001,U1,XCVR_451-00001,C7185357,1
MT3608,U3,SOT-23-6,C84817,1
SS34,D1,D_SMA,C8678,1
DMG3402L,"Q2,Q4,Q6,Q8",SOT-23,C96614,4
ON BOOSTER,TP9,TestPoint_Pad_D2.0mm,,1
