Comment,Designator,Footprint,LCSC,Quantity
100k,"R1,R2,R3,R4",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C17900,4
47u,L1,L_12x12mm_H8mm,C2041853,1
CD74HC4050NSR,IC1,TSSOP-16_4.4x5mm_P0.65mm,C352825,1
Conn_ST_STDC14,J2,PinHeader_2x07_P1.27mm_Vertical_SMD,C41370775,1
Crystal,Y1,Crystal_SMD_MicroCrystal_CC8V-T1A-2Pin_2.0x1.2mm,C5142652,1
LM2596S-3.3,U2,TO-263-5_TabPin3,C5186052,1
451-00001,U1,XCVR_451-00001,C7185357,1
SS34,D1,D_SMA,C8678,1
100u,C1,CP_Radial_D5.0mm_P2.00mm,,1
330u,C2,CP_Radial_D8.0mm_P3.80mm,,1
